NAxe	NTrace	Loc	Xsque	Ysque	U	V	Angle	NDate	Duree	Amplitude	DateTDCvieux	DateTDCrecent	Marqueur	EPR	AOR	OLS	WLS	RLS	RWLS	JK	K	MDL	DateK	Product	DateProd
1	100	Tuto	826992.352	6253554.407	-0.681	-0.732	1.057	3	71.001	51.062	1942-07-01	2013-07-01	3	-0.35	-9.7	0	-0.22	-0.35	-0.35	-9.7	3	-29.14	1977	Cerema	2020-12-18
1	101	Tuto	827066.524	6253487.537	-0.63	-0.777	1.175	3	71.001	45.689	1942-07-01	2013-07-01	3	-0.64	-7.01	-0.41	-0.56	-0.47	-0.56	-7.01	3	-20.25	1976	Cerema	2020-12-18
1	102	Tuto	827145.629	6253426.362	-0.612	-0.791	1.219	3	71.001	78.453	1942-07-01	2013-07-01	3	-1.1	-6.9	-0.89	-1.02	-0.94	-1.02	-6.9	3	-18.94	1975	Cerema	2020-12-18
1	103	Tuto	827224.734	6253365.187	-0.618	-0.786	1.203	3	71.001	103.326	1942-07-01	2013-07-01	3	-1.46	-9.15	-1.17	-1.35	-1.24	-1.35	-9.15	3	-25.13	1975	Cerema	2020-12-18
1	104	Tuto	827305.061	6253305.681	-0.629	-0.778	1.178	3	71.001	130.847	1942-07-01	2013-07-01	3	-1.84	-10.55	-1.52	-1.72	-1.6	-1.72	-10.55	3	-28.65	1975	Cerema	2020-12-18
1	105	Tuto	827382.885	6253242.889	-0.615	-0.789	1.212	3	71.001	147.662	1942-07-01	2013-07-01	3	-2.08	-9.2	-1.82	-1.98	-1.88	-1.98	-9.2	3	-24	1974	Cerema	2020-12-18
1	106	Tuto	827463.057	6253183.144	-0.588	-0.809	1.28	3	71.001	164.674	1942-07-01	2013-07-01	3	-2.32	-7.16	-2.14	-2.25	-2.18	-2.25	-7.16	3	-17.21	1972	Cerema	2020-12-18
1	107	Tuto	827544.566	6253125.215	-0.571	-0.821	1.325	3	71.001	188.063	1942-07-01	2013-07-01	3	-2.65	-7.4	-2.47	-2.58	-2.52	-2.58	-7.4	3	-17.26	1971	Cerema	2020-12-18
1	108	Tuto	827627.229	6253068.945	-0.56	-0.828	1.355	3	71.001	203.251	1942-07-01	2013-07-01	3	-2.86	-7.76	-2.68	-2.79	-2.73	-2.79	-7.76	3	-17.95	1971	Cerema	2020-12-18
1	109	Tuto	827710.25	6253013.2	-0.556	-0.831	1.366	3	71.001	224.145	1942-07-01	2013-07-01	3	-3.16	-7.94	-2.98	-3.09	-3.02	-3.09	-7.94	3	-17.88	1970	Cerema	2020-12-18
1	110	Tuto	827793.48	6252957.772	-0.553	-0.833	1.375	3	71.001	249.537	1942-07-01	2013-07-01	3	-3.51	-8.23	-3.34	-3.45	-3.38	-3.45	-8.22	3	-18.01	1969	Cerema	2020-12-18
1	111	Tuto	827876.671	6252902.284	-0.573	-0.819	1.319	3	71.001	258.719	1942-07-01	2013-07-01	3	-3.64	-8	-3.48	-3.58	-3.52	-3.58	-7.99	3	-17.04	1968	Cerema	2020-12-18
1	112	Tuto	827957.229	6252843.116	-0.626	-0.78	1.184	2	69.248	231.773	1942-07-01	2011-09-30	3	-3.35	-3.35	-3.35	-3.35	-3.35	-3.35	NA	2	-3.35	NA	Cerema	2020-12-18
1	113	Tuto	828034.202	6252779.313	-0.661	-0.75	1.102	2	69.248	260.763	1942-07-01	2011-09-30	3	-3.77	-3.77	-3.77	-3.77	-3.77	-3.77	NA	2	-3.77	NA	Cerema	2020-12-18
1	114	Tuto	828108.475	6252712.358	-0.662	-0.75	1.1	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	115	Tuto	828183.653	6252646.416	-0.659	-0.752	1.107	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	116	Tuto	828258.831	6252580.475	-0.659	-0.752	1.107	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	117	Tuto	828334.009	6252514.533	-0.66	-0.751	1.104	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	118	Tuto	828409.187	6252448.592	-0.661	-0.751	1.103	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	119	Tuto	828484.424	6252382.718	-0.656	-0.755	1.114	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	120	Tuto	828560.574	6252317.907	-0.645	-0.764	1.139	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	121	Tuto	828637.127	6252253.568	-0.61	-0.793	1.224	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	122	Tuto	828716.279	6252192.831	-0.52	-0.854	1.474	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	123	Tuto	828803.917	6252144.678	-0.474	-0.88	1.63	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	124	Tuto	828892.544	6252098.376	-0.46	-0.888	1.684	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
