NAxe	NTrace	Xsque	Ysque	U	V	Angle	NDate	Duree	Amplitude	DateTDCvieux	DateTDCrecent	Marqueur	EPR	AOR	OLS	WLS	RLS	RWLS	JK	K	MDL	DateK	Product	DateProd
1	32	829022.113	6258566.659	-0.976	-0.219	0.279	2	69.248	276.576	1942-07-01	2011-09-30	3	3.99	3.99	3.99	3.99	3.99	3.99	NA	2	3.99	NA	Cerema	2020-06-23
1	33	829044.047	6258469.094	-0.976	-0.219	0.279	2	69.248	278.364	1942-07-01	2011-09-30	3	4.02	4.02	4.02	4.02	4.02	4.02	NA	2	4.02	NA	Cerema	2020-06-23
1	34	829066.196	6258371.58	-0.969	-0.246	0.313	4	74.006	331.347	1942-07-01	2016-07-02	3	4.48	6.14	4.33	4.48	4.26	4.48	5.46	3	8.9	1945	Cerema	2020-06-23
1	35	829087.668	6258273.914	-0.977	-0.213	0.271	4	74.006	343.371	1942-07-01	2016-07-02	3	4.64	56092.4	4.53	4.68	4.46	4.68	5.62	3	4.53	1942	Cerema	2020-06-23
1	36	829108.963	6258176.208	-0.977	-0.213	0.271	4	74.006	363.069	1942-07-01	2016-07-02	3	4.91	38385.95	4.79	4.97	4.71	4.97	6.07	3	9.95	1946	Cerema	2020-06-23
1	37	829130.258	6258078.502	-0.977	-0.213	0.271	3	74.006	386.123	1942-07-01	2016-07-02	3	5.22	7.07	5.04	5.16	4.93	5.16	7.07	3	11.18	1949	Cerema	2020-06-23
1	38	829143.234	6257979.465	-0.996	-0.085	0.108	4	74.006	423.506	1942-07-01	2016-07-02	3	5.72	36937.7	5.54	5.81	5.42	5.81	7.53	3	13.55	1954	Cerema	2020-06-23
1	39	829151.728	6257879.826	-0.996	-0.085	0.108	4	74.006	451.584	1942-07-01	2016-07-02	3	6.09	-3549.74	5.95	6.24	5.81	6.24	8.03	3	14.29	1953	Cerema	2020-06-23
1	40	829159.009	6257780.1	-0.998	-0.059	0.075	4	74.006	495.276	1942-07-01	2016-07-02	3	6.69	21891.85	6.49	6.82	6.35	6.82	8.86	3	16	1954	Cerema	2020-06-23
1	41	829164.525	6257680.252	-0.998	-0.055	0.07	4	74.006	536.555	1942-07-01	2016-07-02	3	7.24	-3276.36	7.02	7.46	6.81	7.46	10.2	3	19.81	1959	Cerema	2020-06-23
1	42	829163.416	6257580.282	-1	0.024	-0.031	3	74.006	563.641	1942-07-01	2016-07-02	3	7.62	11.67	7.23	7.48	6.99	7.48	11.68	3	20.69	1959	Cerema	2020-06-23
