NAxe	NTrace	Loc	Xsque	Ysque	U	V	Distance	date1	date2	marqueur	incert	leve	product	NomTDC[itdc]	Nbcoup
1	28	Tuto	828914.539	6258951.285	-0.95	-0.313	-126.095	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	28	Tuto	828914.539	6258951.285	-0.95	-0.313	122.216	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	29	Tuto	828945.146	6258856.084	-0.956	-0.293	-129.753	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	29	Tuto	828945.146	6258856.084	-0.956	-0.293	126.331	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	30	Tuto	828974.504	6258760.502	-0.967	-0.253	-132.705	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	30	Tuto	828974.504	6258760.502	-0.967	-0.253	135.102	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	31	Tuto	828998.528	6258663.431	-0.972	-0.236	-143.932	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	31	Tuto	828998.528	6258663.431	-0.972	-0.236	127.948	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	32	Tuto	829022.199	6258566.277	-0.975	-0.223	-148.528	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	32	Tuto	829022.199	6258566.277	-0.975	-0.223	128.031	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	33	Tuto	829044.133	6258468.712	-0.975	-0.224	-155.033	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	33	Tuto	829044.133	6258468.712	-0.975	-0.224	123.28	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	34	Tuto	829066.292	6258371.2	-0.973	-0.232	160.401	20160702160954	20160702161126	3	15	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	34	Tuto	829066.292	6258371.2	-0.973	-0.232	170.108	20160702161301	20160702161444	3	15	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	34	Tuto	829066.292	6258371.2	-0.973	-0.232	-161.012	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	34	Tuto	829066.292	6258371.2	-0.973	-0.232	123.337	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	35	Tuto	829087.752	6258273.532	-0.976	-0.219	165.027	20160702160639	20160702160921	3	15	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	35	Tuto	829087.752	6258273.532	-0.976	-0.219	170.197	20160702161449	20160702161633	3	15	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	35	Tuto	829087.752	6258273.532	-0.976	-0.219	-173.116	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	35	Tuto	829087.752	6258273.532	-0.976	-0.219	125.486	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	36	Tuto	829109.047	6258175.825	-0.977	-0.214	174.268	20160702160639	20160702160921	3	15	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	36	Tuto	829109.047	6258175.825	-0.977	-0.214	177.643	20160702161449	20160702161633	3	15	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	36	Tuto	829109.047	6258175.825	-0.977	-0.214	-185.526	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	36	Tuto	829109.047	6258175.825	-0.977	-0.214	128.476	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	37	Tuto	829130.342	6258078.119	-0.982	-0.188	190.265	20160702160639	20160702160921	3	15	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	37	Tuto	829130.342	6258078.119	-0.982	-0.188	197.644	20160702161636	20160702161750	3	15	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	37	Tuto	829130.342	6258078.119	-0.982	-0.188	-195.687	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	37	Tuto	829130.342	6258078.119	-0.982	-0.188	136.207	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	38	Tuto	829143.267	6257979.075	-0.994	-0.111	198.778	20160702160036	20160702160621	3	15	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	38	Tuto	829143.267	6257979.075	-0.994	-0.111	204.794	20160702161753	20160702162002	3	15	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	38	Tuto	829143.267	6257979.075	-0.994	-0.111	-217.944	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	38	Tuto	829143.267	6257979.075	-0.994	-0.111	136.172	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	39	Tuto	829151.761	6257879.436	-0.997	-0.08	210.272	20160702160036	20160702160621	3	15	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	39	Tuto	829151.761	6257879.436	-0.997	-0.08	209.664	20160702162005	20160702162221	3	15	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	39	Tuto	829151.761	6257879.436	-0.997	-0.08	-241.561	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	39	Tuto	829151.761	6257879.436	-0.997	-0.08	141.998	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	40	Tuto	829159.032	6257779.709	-0.998	-0.064	231.898	20160702160036	20160702160621	3	15	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	40	Tuto	829159.032	6257779.709	-0.998	-0.064	236.64	20160702162005	20160702162221	3	15	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	40	Tuto	829159.032	6257779.709	-0.998	-0.064	-259.378	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	40	Tuto	829159.032	6257779.709	-0.998	-0.064	157.56	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	41	Tuto	829164.546	6257679.861	-0.999	-0.04	259.729	20160702160036	20160702160621	3	15	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	41	Tuto	829164.546	6257679.861	-0.999	-0.04	258.357	20160702162224	20160702162512	3	15	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	41	Tuto	829164.546	6257679.861	-0.999	-0.04	-276.643	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	41	Tuto	829164.546	6257679.861	-0.999	-0.04	165.847	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	42	Tuto	829163.407	6257579.891	-0.999	0.034	276.328	20160702162224	20160702162512	3	15	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	42	Tuto	829163.407	6257579.891	-0.999	0.034	-286.694	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	42	Tuto	829163.407	6257579.891	-0.999	0.034	178.825	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	43	Tuto	829158.183	6257480.102	-0.987	0.159	291.406	20160702155917	20160702155955	3	15	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	43	Tuto	829158.183	6257480.102	-0.987	0.159	292.741	20160702162224	20160702162512	3	15	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	43	Tuto	829158.183	6257480.102	-0.987	0.159	-300.575	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	43	Tuto	829158.183	6257480.102	-0.987	0.159	176.56	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	44	Tuto	829133.991	6257383.195	-0.961	0.275	295.575	20160702155714	20160702155914	3	15	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	44	Tuto	829133.991	6257383.195	-0.961	0.275	292.268	20160702162515	20160702162752	3	15	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	44	Tuto	829133.991	6257383.195	-0.961	0.275	-309.061	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	44	Tuto	829133.991	6257383.195	-0.961	0.275	166.693	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	45	Tuto	829103.545	6257287.943	-0.948	0.319	311.217	20160702155714	20160702155914	3	15	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	45	Tuto	829103.545	6257287.943	-0.948	0.319	307.669	20160702162515	20160702162752	3	15	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	45	Tuto	829103.545	6257287.943	-0.948	0.319	-354.453	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	45	Tuto	829103.545	6257287.943	-0.948	0.319	202.494	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	46	Tuto	829070.398	6257193.673	-0.931	0.364	317.972	20160702143628	20160702143658	3	15	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	46	Tuto	829070.398	6257193.673	-0.931	0.364	-348.275	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	46	Tuto	829070.398	6257193.673	-0.931	0.364	216.488	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	47	Tuto	829032.503	6257101.132	-0.925	0.379	337.393	20160702143549	20160702143625	3	10	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	47	Tuto	829032.503	6257101.132	-0.925	0.379	-377.652	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	47	Tuto	829032.503	6257101.132	-0.925	0.379	253.171	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	48	Tuto	828994.608	6257008.59	-0.925	0.379	351.566	20160702143433	20160702143523	3	15	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
